record_id,title,rule_name,department,department_normalized,agency,agency_normalized,division_board_program,ccr_citation,department_number,chapter,rule_number,source_page_url,document_url,file_path,content_type,source_format,download_status,discovery_timestamp,retrieval_timestamp,checksum_sha256,size_bytes,text_extraction_status,raw_file_exists,notes,error,industry_tags,topic_tags,domain_tags,tag_confidence_score,tag_confidence_label,coorstek_relevance,tag_rule_sources,tag_notes
2_CCR_407-1,2 CCR 407-1,,400 Department of Natural Resources,Department of Natural Resources,"407 Division of Reclamation, Mining and Safety","Division of Reclamation, Mining and Safety","Division of Reclamation, Mining and Safety",2 CCR 407-1,2,407,1,"https://www.sos.state.co.us/CCR/DisplayRule.do?action=ruleinfo&ruleId=2138&deptID=13&agencyID=72&deptName=Department%20of%20Natural%20Resources&agencyName=Division%20of%20Reclamation,%20Mining%20and%20Safety&seriesNum=2%20CCR%20407-1",https://www.sos.state.co.us/CCR/GenerateRulePdf.do?ruleVersionId=12506&fileName=2%20CCR%20407-1&type=pdf,C:/Users/jpfeifer/OneDrive - CoorsTek/Documents/Geode/_RAW_ARCHIVE/ccr/2_CCR_407-1.pdf,application/pdf,pdf,downloaded,2026-06-22T18:26:22.490478Z,2026-06-22T22:09:46.983912Z,4e30908a0d4b8fe59a12548077b260bd7e7494f4c9e392eeeb462ccc143e0dad,1006094,not_attempted,True,,,"[""manufacturing"",""mining""]","[""energy"",""environment"",""mining"",""natural_resources""]","[""environmental_waste"",""general_manufacturing"",""mining_minerals_natural_resources""]",0.85,high,high,"[{""rule_id"":""agency_mining_reclamation"",""source"":""agency"",""confidence"":0.85,""matched_text"":""division of reclamation"",""reason"":""Mining and mineral rules are adjacent to raw-material supply chains."",""industry_tags"":[""mining"",""manufacturing""],""topic_tags"":[""energy"",""mining"",""natural_resources"",""environment""],""domain_tags"":[""mining_minerals_natural_resources"",""environmental_waste"",""general_manufacturing""]}]",
2_CCR_407-2,2 CCR 407-2,,400 Department of Natural Resources,Department of Natural Resources,"407 Division of Reclamation, Mining and Safety","Division of Reclamation, Mining and Safety","Division of Reclamation, Mining and Safety",2 CCR 407-2,2,407,2,"https://www.sos.state.co.us/CCR/DisplayRule.do?action=ruleinfo&ruleId=2139&deptID=13&agencyID=72&deptName=Department%20of%20Natural%20Resources&agencyName=Division%20of%20Reclamation,%20Mining%20and%20Safety&seriesNum=2%20CCR%20407-2",https://www.sos.state.co.us/CCR/GenerateRulePdf.do?ruleVersionId=8856&fileName=2%20CCR%20407-2&type=pdf,C:/Users/jpfeifer/OneDrive - CoorsTek/Documents/Geode/_RAW_ARCHIVE/ccr/2_CCR_407-2.pdf,application/pdf,pdf,downloaded,2026-06-22T18:26:22.500236Z,2026-06-22T22:09:48.834007Z,a9841ebfcb25072ef125b9f713e62bfff9134b4991513dfbdfd3f606bb31352b,2454624,not_attempted,True,,,"[""manufacturing"",""mining""]","[""energy"",""environment"",""mining"",""natural_resources""]","[""environmental_waste"",""general_manufacturing"",""mining_minerals_natural_resources""]",0.85,high,high,"[{""rule_id"":""agency_mining_reclamation"",""source"":""agency"",""confidence"":0.85,""matched_text"":""division of reclamation"",""reason"":""Mining and mineral rules are adjacent to raw-material supply chains."",""industry_tags"":[""mining"",""manufacturing""],""topic_tags"":[""energy"",""mining"",""natural_resources"",""environment""],""domain_tags"":[""mining_minerals_natural_resources"",""environmental_waste"",""general_manufacturing""]}]",
2_CCR_407-3,2 CCR 407-3,,400 Department of Natural Resources,Department of Natural Resources,"407 Division of Reclamation, Mining and Safety","Division of Reclamation, Mining and Safety","Division of Reclamation, Mining and Safety",2 CCR 407-3,2,407,3,"https://www.sos.state.co.us/CCR/DisplayRule.do?action=ruleinfo&ruleId=2140&deptID=13&agencyID=72&deptName=Department%20of%20Natural%20Resources&agencyName=Division%20of%20Reclamation,%20Mining%20and%20Safety&seriesNum=2%20CCR%20407-3",https://www.sos.state.co.us/CCR/GenerateRulePdf.do?ruleVersionId=1842&fileName=2%20CCR%20407-3&type=pdf,C:/Users/jpfeifer/OneDrive - CoorsTek/Documents/Geode/_RAW_ARCHIVE/ccr/2_CCR_407-3.pdf,application/pdf,pdf,downloaded,2026-06-22T18:26:22.540990Z,2026-06-22T22:29:09.105007Z,ab2458c3406162a6eaf36bb182020a05133872bb21018c50f847095bb679c542,310881,not_attempted,True,,,"[""manufacturing"",""mining""]","[""energy"",""environment"",""mining"",""natural_resources""]","[""environmental_waste"",""general_manufacturing"",""mining_minerals_natural_resources""]",0.85,high,high,"[{""rule_id"":""agency_mining_reclamation"",""source"":""agency"",""confidence"":0.85,""matched_text"":""division of reclamation"",""reason"":""Mining and mineral rules are adjacent to raw-material supply chains."",""industry_tags"":[""mining"",""manufacturing""],""topic_tags"":[""energy"",""mining"",""natural_resources"",""environment""],""domain_tags"":[""mining_minerals_natural_resources"",""environmental_waste"",""general_manufacturing""]}]",
2_CCR_407-4,2 CCR 407-4,,400 Department of Natural Resources,Department of Natural Resources,"407 Division of Reclamation, Mining and Safety","Division of Reclamation, Mining and Safety","Division of Reclamation, Mining and Safety",2 CCR 407-4,2,407,4,"https://www.sos.state.co.us/CCR/DisplayRule.do?action=ruleinfo&ruleId=2141&deptID=13&agencyID=72&deptName=Department%20of%20Natural%20Resources&agencyName=Division%20of%20Reclamation,%20Mining%20and%20Safety&seriesNum=2%20CCR%20407-4",https://www.sos.state.co.us/CCR/GenerateRulePdf.do?ruleVersionId=12504&fileName=2%20CCR%20407-4&type=pdf,C:/Users/jpfeifer/OneDrive - CoorsTek/Documents/Geode/_RAW_ARCHIVE/ccr/2_CCR_407-4.pdf,application/pdf,pdf,downloaded,2026-06-22T18:26:22.582505Z,2026-06-22T22:29:10.521213Z,6cb4d6a66780bde748a66a6ccd67437ddfd15b369e6f7d7ad19d91cfeae80b6b,715681,not_attempted,True,,,"[""manufacturing"",""mining""]","[""energy"",""environment"",""mining"",""natural_resources""]","[""environmental_waste"",""general_manufacturing"",""mining_minerals_natural_resources""]",0.85,high,high,"[{""rule_id"":""agency_mining_reclamation"",""source"":""agency"",""confidence"":0.85,""matched_text"":""division of reclamation"",""reason"":""Mining and mineral rules are adjacent to raw-material supply chains."",""industry_tags"":[""mining"",""manufacturing""],""topic_tags"":[""energy"",""mining"",""natural_resources"",""environment""],""domain_tags"":[""mining_minerals_natural_resources"",""environmental_waste"",""general_manufacturing""]}]",
2_CCR_407-5,2 CCR 407-5,,400 Department of Natural Resources,Department of Natural Resources,"407 Division of Reclamation, Mining and Safety","Division of Reclamation, Mining and Safety","Division of Reclamation, Mining and Safety",2 CCR 407-5,2,407,5,"https://www.sos.state.co.us/CCR/DisplayRule.do?action=ruleinfo&ruleId=2142&deptID=13&agencyID=72&deptName=Department%20of%20Natural%20Resources&agencyName=Division%20of%20Reclamation,%20Mining%20and%20Safety&seriesNum=2%20CCR%20407-5",https://www.sos.state.co.us/CCR/GenerateRulePdf.do?ruleVersionId=1907&fileName=2%20CCR%20407-5&type=pdf,C:/Users/jpfeifer/OneDrive - CoorsTek/Documents/Geode/_RAW_ARCHIVE/ccr/2_CCR_407-5.pdf,application/pdf,pdf,downloaded,2026-06-22T18:26:22.624632Z,2026-06-22T22:29:11.904482Z,b4d4cd556d446c61703c6b22705494523436ceab7bb6d6b98160ab97c6376dd6,492388,not_attempted,True,,,"[""manufacturing"",""mining""]","[""energy"",""environment"",""mining"",""natural_resources""]","[""environmental_waste"",""general_manufacturing"",""mining_minerals_natural_resources""]",0.85,high,high,"[{""rule_id"":""agency_mining_reclamation"",""source"":""agency"",""confidence"":0.85,""matched_text"":""division of reclamation"",""reason"":""Mining and mineral rules are adjacent to raw-material supply chains."",""industry_tags"":[""mining"",""manufacturing""],""topic_tags"":[""energy"",""mining"",""natural_resources"",""environment""],""domain_tags"":[""mining_minerals_natural_resources"",""environmental_waste"",""general_manufacturing""]}]",
2_CCR_407-6,2 CCR 407-6,,400 Department of Natural Resources,Department of Natural Resources,"407 Division of Reclamation, Mining and Safety","Division of Reclamation, Mining and Safety","Division of Reclamation, Mining and Safety",2 CCR 407-6,2,407,6,"https://www.sos.state.co.us/CCR/DisplayRule.do?action=ruleinfo&ruleId=2143&deptID=13&agencyID=72&deptName=Department%20of%20Natural%20Resources&agencyName=Division%20of%20Reclamation,%20Mining%20and%20Safety&seriesNum=2%20CCR%20407-6",https://www.sos.state.co.us/CCR/GenerateRulePdf.do?ruleVersionId=12501&fileName=2%20CCR%20407-6&type=pdf,C:/Users/jpfeifer/OneDrive - CoorsTek/Documents/Geode/_RAW_ARCHIVE/ccr/2_CCR_407-6.pdf,application/pdf,pdf,downloaded,2026-06-22T18:26:22.674350Z,2026-06-22T22:29:13.274976Z,ef849916368601d42cae6d3a8484ea36b5780212ba4650b1b982d40ceeb7b38c,352033,not_attempted,True,,,"[""manufacturing"",""mining""]","[""energy"",""environment"",""mining"",""natural_resources""]","[""environmental_waste"",""general_manufacturing"",""mining_minerals_natural_resources""]",0.85,high,high,"[{""rule_id"":""agency_mining_reclamation"",""source"":""agency"",""confidence"":0.85,""matched_text"":""division of reclamation"",""reason"":""Mining and mineral rules are adjacent to raw-material supply chains."",""industry_tags"":[""mining"",""manufacturing""],""topic_tags"":[""energy"",""mining"",""natural_resources"",""environment""],""domain_tags"":[""mining_minerals_natural_resources"",""environmental_waste"",""general_manufacturing""]}]",
2_CCR_407-7,2 CCR 407-7,,400 Department of Natural Resources,Department of Natural Resources,"407 Division of Reclamation, Mining and Safety","Division of Reclamation, Mining and Safety","Division of Reclamation, Mining and Safety",2 CCR 407-7,2,407,7,"https://www.sos.state.co.us/CCR/DisplayRule.do?action=ruleinfo&ruleId=2144&deptID=13&agencyID=72&deptName=Department%20of%20Natural%20Resources&agencyName=Division%20of%20Reclamation,%20Mining%20and%20Safety&seriesNum=2%20CCR%20407-7",https://www.sos.state.co.us/CCR/GenerateRulePdf.do?ruleVersionId=136&fileName=2%20CCR%20407-7&type=pdf,C:/Users/jpfeifer/OneDrive - CoorsTek/Documents/Geode/_RAW_ARCHIVE/ccr/2_CCR_407-7.pdf,application/pdf,pdf,downloaded,2026-06-22T18:26:22.707763Z,2026-06-22T22:29:14.490315Z,80ed1c72a1233357580f59ee15cdf837419bb041b9f279c44de4964793d9f266,313057,not_attempted,True,,,"[""manufacturing"",""mining""]","[""energy"",""environment"",""mining"",""natural_resources""]","[""environmental_waste"",""general_manufacturing"",""mining_minerals_natural_resources""]",0.85,high,high,"[{""rule_id"":""agency_mining_reclamation"",""source"":""agency"",""confidence"":0.85,""matched_text"":""division of reclamation"",""reason"":""Mining and mineral rules are adjacent to raw-material supply chains."",""industry_tags"":[""mining"",""manufacturing""],""topic_tags"":[""energy"",""mining"",""natural_resources"",""environment""],""domain_tags"":[""mining_minerals_natural_resources"",""environmental_waste"",""general_manufacturing""]}]",
5_CCR_1001-1,5 CCR 1001-1,,1000 Department of Public Health and Environment,Department of Public Health and Environment,1001 Air Quality Control Commission,Air Quality Control Commission,Air Quality Control Commission,5 CCR 1001-1,5,1001,1,https://www.sos.state.co.us/CCR/DisplayRule.do?action=ruleinfo&ruleId=2333&deptID=16&agencyID=7&deptName=Department%20of%20Public%20Health%20and%20Environment&agencyName=Air%20Quality%20Control%20Commission&seriesNum=5%20CCR%201001-1,https://www.sos.state.co.us/CCR/GenerateRulePdf.do?ruleVersionId=11840&fileName=5%20CCR%201001-1&type=pdf,C:/Users/jpfeifer/OneDrive - CoorsTek/Documents/Geode/_RAW_ARCHIVE/ccr/5_CCR_1001-1.pdf,application/pdf,pdf,downloaded,2026-06-22T18:28:48.472863Z,2026-06-22T22:56:01.889788Z,475c17feda09f45ea39a92ac0c3e2ef636e7ad99b37918621ddd93f1a0e8f793,1060101,not_attempted,True,,,"[""manufacturing"",""oil_gas"",""transportation_warehousing"",""utilities""]","[""air_quality"",""emissions"",""enforcement"",""environment"",""inspection"",""permitting"",""reporting""]","[""building_fire_industrial_operations"",""environmental_air"",""general_manufacturing""]",0.97,high,high,"[{""rule_id"":""agency_air_quality"",""source"":""agency"",""confidence"":0.95,""matched_text"":""5 CCR 1001, air quality control commission"",""reason"":""Air-quality and emissions rules commonly affect industrial sources."",""industry_tags"":[""manufacturing"",""utilities"",""oil_gas"",""transportation_warehousing""],""topic_tags"":[""environment"",""air_quality"",""emissions"",""permitting"",""reporting"",""inspection"",""enforcement""],""domain_tags"":[""environmental_air"",""building_fire_industrial_operations"",""general_manufacturing""]},{""rule_id"":""keyword_air_emissions"",""source"":""keyword"",""confidence"":0.7,""matched_text"":""air quality"",""reason"":""Air/emissions keywords appeared in available CCR metadata."",""industry_tags"":[""manufacturing"",""utilities"",""oil_gas""],""topic_tags"":[""environment"",""air_quality"",""emissions""],""domain_tags"":[""environmental_air"",""general_manufacturing""]}]",
5_CCR_1001-2,5 CCR 1001-2,,1000 Department of Public Health and Environment,Department of Public Health and Environment,1001 Air Quality Control Commission,Air Quality Control Commission,Air Quality Control Commission,5 CCR 1001-2,5,1001,2,https://www.sos.state.co.us/CCR/DisplayRule.do?action=ruleinfo&ruleId=2334&deptID=16&agencyID=7&deptName=Department%20of%20Public%20Health%20and%20Environment&agencyName=Air%20Quality%20Control%20Commission&seriesNum=5%20CCR%201001-2,https://www.sos.state.co.us/CCR/GenerateRulePdf.do?ruleVersionId=12286&fileName=5%20CCR%201001-2&type=pdf,C:/Users/jpfeifer/OneDrive - CoorsTek/Documents/Geode/_RAW_ARCHIVE/ccr/5_CCR_1001-2.pdf,application/pdf,pdf,downloaded,2026-06-22T18:28:48.483539Z,2026-06-22T22:56:03.293404Z,c349aca428ba308cdd2f78ba4ca1955a81562172018b545e39b5df6fa95d2818,737128,not_attempted,True,,,"[""manufacturing"",""oil_gas"",""transportation_warehousing"",""utilities""]","[""air_quality"",""emissions"",""enforcement"",""environment"",""inspection"",""permitting"",""reporting""]","[""building_fire_industrial_operations"",""environmental_air"",""general_manufacturing""]",0.97,high,high,"[{""rule_id"":""agency_air_quality"",""source"":""agency"",""confidence"":0.95,""matched_text"":""5 CCR 1001, air quality control commission"",""reason"":""Air-quality and emissions rules commonly affect industrial sources."",""industry_tags"":[""manufacturing"",""utilities"",""oil_gas"",""transportation_warehousing""],""topic_tags"":[""environment"",""air_quality"",""emissions"",""permitting"",""reporting"",""inspection"",""enforcement""],""domain_tags"":[""environmental_air"",""building_fire_industrial_operations"",""general_manufacturing""]},{""rule_id"":""keyword_air_emissions"",""source"":""keyword"",""confidence"":0.7,""matched_text"":""air quality"",""reason"":""Air/emissions keywords appeared in available CCR metadata."",""industry_tags"":[""manufacturing"",""utilities"",""oil_gas""],""topic_tags"":[""environment"",""air_quality"",""emissions""],""domain_tags"":[""environmental_air"",""general_manufacturing""]}]",
5_CCR_1001-3,5 CCR 1001-3,,1000 Department of Public Health and Environment,Department of Public Health and Environment,1001 Air Quality Control Commission,Air Quality Control Commission,Air Quality Control Commission,5 CCR 1001-3,5,1001,3,https://www.sos.state.co.us/CCR/DisplayRule.do?action=ruleinfo&ruleId=2335&deptID=16&agencyID=7&deptName=Department%20of%20Public%20Health%20and%20Environment&agencyName=Air%20Quality%20Control%20Commission&seriesNum=5%20CCR%201001-3,https://www.sos.state.co.us/CCR/GenerateRulePdf.do?ruleVersionId=11648&fileName=5%20CCR%201001-3&type=pdf,C:/Users/jpfeifer/OneDrive - CoorsTek/Documents/Geode/_RAW_ARCHIVE/ccr/5_CCR_1001-3.pdf,application/pdf,pdf,downloaded,2026-06-22T18:28:48.523723Z,2026-06-22T22:56:04.845475Z,22c6f9bd8d53870ba60f2447eac33230e06c6f0f487e5be385e27bf5b1ae307d,879322,not_attempted,True,,,"[""manufacturing"",""oil_gas"",""transportation_warehousing"",""utilities""]","[""air_quality"",""emissions"",""enforcement"",""environment"",""inspection"",""permitting"",""reporting""]","[""building_fire_industrial_operations"",""environmental_air"",""general_manufacturing""]",0.97,high,high,"[{""rule_id"":""agency_air_quality"",""source"":""agency"",""confidence"":0.95,""matched_text"":""5 CCR 1001, air quality control commission"",""reason"":""Air-quality and emissions rules commonly affect industrial sources."",""industry_tags"":[""manufacturing"",""utilities"",""oil_gas"",""transportation_warehousing""],""topic_tags"":[""environment"",""air_quality"",""emissions"",""permitting"",""reporting"",""inspection"",""enforcement""],""domain_tags"":[""environmental_air"",""building_fire_industrial_operations"",""general_manufacturing""]},{""rule_id"":""keyword_air_emissions"",""source"":""keyword"",""confidence"":0.7,""matched_text"":""air quality"",""reason"":""Air/emissions keywords appeared in available CCR metadata."",""industry_tags"":[""manufacturing"",""utilities"",""oil_gas""],""topic_tags"":[""environment"",""air_quality"",""emissions""],""domain_tags"":[""environmental_air"",""general_manufacturing""]}]",
