record_id,title,rule_name,department,department_normalized,agency,agency_normalized,division_board_program,ccr_citation,department_number,chapter,rule_number,source_page_url,document_url,file_path,content_type,source_format,download_status,discovery_timestamp,retrieval_timestamp,checksum_sha256,size_bytes,text_extraction_status,raw_file_exists,notes,error,industry_tags,topic_tags,domain_tags,tag_confidence_score,tag_confidence_label,coorstek_relevance,tag_rule_sources,tag_notes
1_CCR_209-1,1 CCR 209-1,,200 Department of Revenue,Department of Revenue,209 Motor Carrier Services Division,Motor Carrier Services Division,Motor Carrier Services Division,1 CCR 209-1,1,209,1,https://www.sos.state.co.us/CCR/DisplayRule.do?action=ruleinfo&ruleId=2021&deptID=19&agencyID=74&deptName=Department%20of%20Revenue&agencyName=Motor%20Carrier%20Services%20Division&seriesNum=1%20CCR%20209-1,https://www.sos.state.co.us/CCR/GenerateRulePdf.do?ruleVersionId=5198&fileName=1%20CCR%20209-1&type=pdf,C:/Users/jpfeifer/OneDrive - CoorsTek/Documents/Geode/_RAW_ARCHIVE/ccr/1_CCR_209-1.pdf,application/pdf,pdf,downloaded,2026-06-22T18:25:51.888252Z,2026-06-22T21:39:32.384351Z,50d076f6d1dc5c0418c561bd45c2d105aca2a297dbd07f6af5c67ab4c69c995f,317621,not_attempted,True,,,"[""manufacturing"",""transportation_warehousing""]","[""commercial_vehicles"",""motor_vehicles"",""transportation""]","[""general_manufacturing"",""transportation_hazmat""]",0.7,moderate,high,"[{""rule_id"":""agency_transport_hazmat"",""source"":""agency"",""confidence"":0.7,""matched_text"":""motor carrier"",""reason"":""Transportation and motor-carrier metadata can indicate shipping duties."",""industry_tags"":[""transportation_warehousing"",""manufacturing""],""topic_tags"":[""transportation"",""commercial_vehicles"",""motor_vehicles""],""domain_tags"":[""transportation_hazmat"",""general_manufacturing""]}]",
1_CCR_209-2,1 CCR 209-2,,200 Department of Revenue,Department of Revenue,209 Motor Carrier Services Division,Motor Carrier Services Division,Motor Carrier Services Division,1 CCR 209-2,1,209,2,https://www.sos.state.co.us/CCR/DisplayRule.do?action=ruleinfo&ruleId=2022&deptID=19&agencyID=74&deptName=Department%20of%20Revenue&agencyName=Motor%20Carrier%20Services%20Division&seriesNum=1%20CCR%20209-2,https://www.sos.state.co.us/CCR/GenerateRulePdf.do?ruleVersionId=1959&fileName=1%20CCR%20209-2&type=pdf,C:/Users/jpfeifer/OneDrive - CoorsTek/Documents/Geode/_RAW_ARCHIVE/ccr/1_CCR_209-2.pdf,application/pdf,pdf,downloaded,2026-06-22T18:25:51.903744Z,2026-06-22T21:39:33.790240Z,6a550e79e17d1d6952451e301f785ac190fa3d250ed03c31cd027f1558e24c89,272440,not_attempted,True,,,"[""manufacturing"",""transportation_warehousing""]","[""commercial_vehicles"",""motor_vehicles"",""transportation""]","[""general_manufacturing"",""transportation_hazmat""]",0.7,moderate,high,"[{""rule_id"":""agency_transport_hazmat"",""source"":""agency"",""confidence"":0.7,""matched_text"":""motor carrier"",""reason"":""Transportation and motor-carrier metadata can indicate shipping duties."",""industry_tags"":[""transportation_warehousing"",""manufacturing""],""topic_tags"":[""transportation"",""commercial_vehicles"",""motor_vehicles""],""domain_tags"":[""transportation_hazmat"",""general_manufacturing""]}]",
2_CCR_404-1,2 CCR 404-1,,400 Department of Natural Resources,Department of Natural Resources,404 Energy and Carbon Management Commission,Energy and Carbon Management Commission,Energy and Carbon Management Commission,2 CCR 404-1,2,404,1,https://www.sos.state.co.us/CCR/DisplayRule.do?action=ruleinfo&ruleId=2124&deptID=13&agencyID=79&deptName=Department%20of%20Natural%20Resources&agencyName=Energy%20and%20Carbon%20Management%20Commission&seriesNum=2%20CCR%20404-1,https://www.sos.state.co.us/CCR/GenerateRulePdf.do?ruleVersionId=12558&fileName=2%20CCR%20404-1&type=pdf,C:/Users/jpfeifer/OneDrive - CoorsTek/Documents/Geode/_RAW_ARCHIVE/ccr/2_CCR_404-1.pdf,application/pdf,pdf,downloaded,2026-06-22T18:26:17.019297Z,2026-06-22T22:09:09.081584Z,d28684f3da19a71b9e6c137bd89d8d5ffd7ecf24d7ac04f054984e8f925897dd,7608120,not_attempted,True,,,"[""manufacturing"",""oil_gas"",""utilities""]","[""energy"",""natural_resources"",""oil_gas"",""pipeline_safety""]","[""building_fire_industrial_operations"",""energy_utilities"",""general_manufacturing"",""transportation_hazmat""]",0.85,high,high,"[{""rule_id"":""agency_oil_gas_energy"",""source"":""agency"",""confidence"":0.85,""matched_text"":""energy and carbon management"",""reason"":""Energy and oil/gas rules can affect fuel, storage, and industrial sites."",""industry_tags"":[""oil_gas"",""utilities"",""manufacturing""],""topic_tags"":[""energy"",""oil_gas"",""pipeline_safety"",""natural_resources""],""domain_tags"":[""energy_utilities"",""transportation_hazmat"",""building_fire_industrial_operations"",""general_manufacturing""]}]",
2_CCR_404-3,2 CCR 404-3,,400 Department of Natural Resources,Department of Natural Resources,404 Energy and Carbon Management Commission,Energy and Carbon Management Commission,Energy and Carbon Management Commission,2 CCR 404-3,2,404,3,https://www.sos.state.co.us/CCR/DisplayRule.do?action=ruleinfo&ruleId=2125&deptID=13&agencyID=79&deptName=Department%20of%20Natural%20Resources&agencyName=Energy%20and%20Carbon%20Management%20Commission&seriesNum=2%20CCR%20404-3,https://www.sos.state.co.us/CCR/GenerateRulePdf.do?ruleVersionId=3128&fileName=2%20CCR%20404-3&type=pdf,C:/Users/jpfeifer/OneDrive - CoorsTek/Documents/Geode/_RAW_ARCHIVE/ccr/2_CCR_404-3.pdf,application/pdf,pdf,downloaded,2026-06-22T18:26:17.019297Z,2026-06-22T22:09:10.501272Z,23201fcdacff336ea3f06f72e19ef30db0d1844d7fb7071e5008e9407a07b263,338056,not_attempted,True,,,"[""manufacturing"",""oil_gas"",""utilities""]","[""energy"",""natural_resources"",""oil_gas"",""pipeline_safety""]","[""building_fire_industrial_operations"",""energy_utilities"",""general_manufacturing"",""transportation_hazmat""]",0.85,high,high,"[{""rule_id"":""agency_oil_gas_energy"",""source"":""agency"",""confidence"":0.85,""matched_text"":""energy and carbon management"",""reason"":""Energy and oil/gas rules can affect fuel, storage, and industrial sites."",""industry_tags"":[""oil_gas"",""utilities"",""manufacturing""],""topic_tags"":[""energy"",""oil_gas"",""pipeline_safety"",""natural_resources""],""domain_tags"":[""energy_utilities"",""transportation_hazmat"",""building_fire_industrial_operations"",""general_manufacturing""]}]",
2_CCR_407-1,2 CCR 407-1,,400 Department of Natural Resources,Department of Natural Resources,"407 Division of Reclamation, Mining and Safety","Division of Reclamation, Mining and Safety","Division of Reclamation, Mining and Safety",2 CCR 407-1,2,407,1,"https://www.sos.state.co.us/CCR/DisplayRule.do?action=ruleinfo&ruleId=2138&deptID=13&agencyID=72&deptName=Department%20of%20Natural%20Resources&agencyName=Division%20of%20Reclamation,%20Mining%20and%20Safety&seriesNum=2%20CCR%20407-1",https://www.sos.state.co.us/CCR/GenerateRulePdf.do?ruleVersionId=12506&fileName=2%20CCR%20407-1&type=pdf,C:/Users/jpfeifer/OneDrive - CoorsTek/Documents/Geode/_RAW_ARCHIVE/ccr/2_CCR_407-1.pdf,application/pdf,pdf,downloaded,2026-06-22T18:26:22.490478Z,2026-06-22T22:09:46.983912Z,4e30908a0d4b8fe59a12548077b260bd7e7494f4c9e392eeeb462ccc143e0dad,1006094,not_attempted,True,,,"[""manufacturing"",""mining""]","[""energy"",""environment"",""mining"",""natural_resources""]","[""environmental_waste"",""general_manufacturing"",""mining_minerals_natural_resources""]",0.85,high,high,"[{""rule_id"":""agency_mining_reclamation"",""source"":""agency"",""confidence"":0.85,""matched_text"":""division of reclamation"",""reason"":""Mining and mineral rules are adjacent to raw-material supply chains."",""industry_tags"":[""mining"",""manufacturing""],""topic_tags"":[""energy"",""mining"",""natural_resources"",""environment""],""domain_tags"":[""mining_minerals_natural_resources"",""environmental_waste"",""general_manufacturing""]}]",
2_CCR_407-2,2 CCR 407-2,,400 Department of Natural Resources,Department of Natural Resources,"407 Division of Reclamation, Mining and Safety","Division of Reclamation, Mining and Safety","Division of Reclamation, Mining and Safety",2 CCR 407-2,2,407,2,"https://www.sos.state.co.us/CCR/DisplayRule.do?action=ruleinfo&ruleId=2139&deptID=13&agencyID=72&deptName=Department%20of%20Natural%20Resources&agencyName=Division%20of%20Reclamation,%20Mining%20and%20Safety&seriesNum=2%20CCR%20407-2",https://www.sos.state.co.us/CCR/GenerateRulePdf.do?ruleVersionId=8856&fileName=2%20CCR%20407-2&type=pdf,C:/Users/jpfeifer/OneDrive - CoorsTek/Documents/Geode/_RAW_ARCHIVE/ccr/2_CCR_407-2.pdf,application/pdf,pdf,downloaded,2026-06-22T18:26:22.500236Z,2026-06-22T22:09:48.834007Z,a9841ebfcb25072ef125b9f713e62bfff9134b4991513dfbdfd3f606bb31352b,2454624,not_attempted,True,,,"[""manufacturing"",""mining""]","[""energy"",""environment"",""mining"",""natural_resources""]","[""environmental_waste"",""general_manufacturing"",""mining_minerals_natural_resources""]",0.85,high,high,"[{""rule_id"":""agency_mining_reclamation"",""source"":""agency"",""confidence"":0.85,""matched_text"":""division of reclamation"",""reason"":""Mining and mineral rules are adjacent to raw-material supply chains."",""industry_tags"":[""mining"",""manufacturing""],""topic_tags"":[""energy"",""mining"",""natural_resources"",""environment""],""domain_tags"":[""mining_minerals_natural_resources"",""environmental_waste"",""general_manufacturing""]}]",
2_CCR_407-3,2 CCR 407-3,,400 Department of Natural Resources,Department of Natural Resources,"407 Division of Reclamation, Mining and Safety","Division of Reclamation, Mining and Safety","Division of Reclamation, Mining and Safety",2 CCR 407-3,2,407,3,"https://www.sos.state.co.us/CCR/DisplayRule.do?action=ruleinfo&ruleId=2140&deptID=13&agencyID=72&deptName=Department%20of%20Natural%20Resources&agencyName=Division%20of%20Reclamation,%20Mining%20and%20Safety&seriesNum=2%20CCR%20407-3",https://www.sos.state.co.us/CCR/GenerateRulePdf.do?ruleVersionId=1842&fileName=2%20CCR%20407-3&type=pdf,C:/Users/jpfeifer/OneDrive - CoorsTek/Documents/Geode/_RAW_ARCHIVE/ccr/2_CCR_407-3.pdf,application/pdf,pdf,downloaded,2026-06-22T18:26:22.540990Z,2026-06-22T22:29:09.105007Z,ab2458c3406162a6eaf36bb182020a05133872bb21018c50f847095bb679c542,310881,not_attempted,True,,,"[""manufacturing"",""mining""]","[""energy"",""environment"",""mining"",""natural_resources""]","[""environmental_waste"",""general_manufacturing"",""mining_minerals_natural_resources""]",0.85,high,high,"[{""rule_id"":""agency_mining_reclamation"",""source"":""agency"",""confidence"":0.85,""matched_text"":""division of reclamation"",""reason"":""Mining and mineral rules are adjacent to raw-material supply chains."",""industry_tags"":[""mining"",""manufacturing""],""topic_tags"":[""energy"",""mining"",""natural_resources"",""environment""],""domain_tags"":[""mining_minerals_natural_resources"",""environmental_waste"",""general_manufacturing""]}]",
2_CCR_407-4,2 CCR 407-4,,400 Department of Natural Resources,Department of Natural Resources,"407 Division of Reclamation, Mining and Safety","Division of Reclamation, Mining and Safety","Division of Reclamation, Mining and Safety",2 CCR 407-4,2,407,4,"https://www.sos.state.co.us/CCR/DisplayRule.do?action=ruleinfo&ruleId=2141&deptID=13&agencyID=72&deptName=Department%20of%20Natural%20Resources&agencyName=Division%20of%20Reclamation,%20Mining%20and%20Safety&seriesNum=2%20CCR%20407-4",https://www.sos.state.co.us/CCR/GenerateRulePdf.do?ruleVersionId=12504&fileName=2%20CCR%20407-4&type=pdf,C:/Users/jpfeifer/OneDrive - CoorsTek/Documents/Geode/_RAW_ARCHIVE/ccr/2_CCR_407-4.pdf,application/pdf,pdf,downloaded,2026-06-22T18:26:22.582505Z,2026-06-22T22:29:10.521213Z,6cb4d6a66780bde748a66a6ccd67437ddfd15b369e6f7d7ad19d91cfeae80b6b,715681,not_attempted,True,,,"[""manufacturing"",""mining""]","[""energy"",""environment"",""mining"",""natural_resources""]","[""environmental_waste"",""general_manufacturing"",""mining_minerals_natural_resources""]",0.85,high,high,"[{""rule_id"":""agency_mining_reclamation"",""source"":""agency"",""confidence"":0.85,""matched_text"":""division of reclamation"",""reason"":""Mining and mineral rules are adjacent to raw-material supply chains."",""industry_tags"":[""mining"",""manufacturing""],""topic_tags"":[""energy"",""mining"",""natural_resources"",""environment""],""domain_tags"":[""mining_minerals_natural_resources"",""environmental_waste"",""general_manufacturing""]}]",
2_CCR_407-5,2 CCR 407-5,,400 Department of Natural Resources,Department of Natural Resources,"407 Division of Reclamation, Mining and Safety","Division of Reclamation, Mining and Safety","Division of Reclamation, Mining and Safety",2 CCR 407-5,2,407,5,"https://www.sos.state.co.us/CCR/DisplayRule.do?action=ruleinfo&ruleId=2142&deptID=13&agencyID=72&deptName=Department%20of%20Natural%20Resources&agencyName=Division%20of%20Reclamation,%20Mining%20and%20Safety&seriesNum=2%20CCR%20407-5",https://www.sos.state.co.us/CCR/GenerateRulePdf.do?ruleVersionId=1907&fileName=2%20CCR%20407-5&type=pdf,C:/Users/jpfeifer/OneDrive - CoorsTek/Documents/Geode/_RAW_ARCHIVE/ccr/2_CCR_407-5.pdf,application/pdf,pdf,downloaded,2026-06-22T18:26:22.624632Z,2026-06-22T22:29:11.904482Z,b4d4cd556d446c61703c6b22705494523436ceab7bb6d6b98160ab97c6376dd6,492388,not_attempted,True,,,"[""manufacturing"",""mining""]","[""energy"",""environment"",""mining"",""natural_resources""]","[""environmental_waste"",""general_manufacturing"",""mining_minerals_natural_resources""]",0.85,high,high,"[{""rule_id"":""agency_mining_reclamation"",""source"":""agency"",""confidence"":0.85,""matched_text"":""division of reclamation"",""reason"":""Mining and mineral rules are adjacent to raw-material supply chains."",""industry_tags"":[""mining"",""manufacturing""],""topic_tags"":[""energy"",""mining"",""natural_resources"",""environment""],""domain_tags"":[""mining_minerals_natural_resources"",""environmental_waste"",""general_manufacturing""]}]",
2_CCR_407-6,2 CCR 407-6,,400 Department of Natural Resources,Department of Natural Resources,"407 Division of Reclamation, Mining and Safety","Division of Reclamation, Mining and Safety","Division of Reclamation, Mining and Safety",2 CCR 407-6,2,407,6,"https://www.sos.state.co.us/CCR/DisplayRule.do?action=ruleinfo&ruleId=2143&deptID=13&agencyID=72&deptName=Department%20of%20Natural%20Resources&agencyName=Division%20of%20Reclamation,%20Mining%20and%20Safety&seriesNum=2%20CCR%20407-6",https://www.sos.state.co.us/CCR/GenerateRulePdf.do?ruleVersionId=12501&fileName=2%20CCR%20407-6&type=pdf,C:/Users/jpfeifer/OneDrive - CoorsTek/Documents/Geode/_RAW_ARCHIVE/ccr/2_CCR_407-6.pdf,application/pdf,pdf,downloaded,2026-06-22T18:26:22.674350Z,2026-06-22T22:29:13.274976Z,ef849916368601d42cae6d3a8484ea36b5780212ba4650b1b982d40ceeb7b38c,352033,not_attempted,True,,,"[""manufacturing"",""mining""]","[""energy"",""environment"",""mining"",""natural_resources""]","[""environmental_waste"",""general_manufacturing"",""mining_minerals_natural_resources""]",0.85,high,high,"[{""rule_id"":""agency_mining_reclamation"",""source"":""agency"",""confidence"":0.85,""matched_text"":""division of reclamation"",""reason"":""Mining and mineral rules are adjacent to raw-material supply chains."",""industry_tags"":[""mining"",""manufacturing""],""topic_tags"":[""energy"",""mining"",""natural_resources"",""environment""],""domain_tags"":[""mining_minerals_natural_resources"",""environmental_waste"",""general_manufacturing""]}]",
2_CCR_407-7,2 CCR 407-7,,400 Department of Natural Resources,Department of Natural Resources,"407 Division of Reclamation, Mining and Safety","Division of Reclamation, Mining and Safety","Division of Reclamation, Mining and Safety",2 CCR 407-7,2,407,7,"https://www.sos.state.co.us/CCR/DisplayRule.do?action=ruleinfo&ruleId=2144&deptID=13&agencyID=72&deptName=Department%20of%20Natural%20Resources&agencyName=Division%20of%20Reclamation,%20Mining%20and%20Safety&seriesNum=2%20CCR%20407-7",https://www.sos.state.co.us/CCR/GenerateRulePdf.do?ruleVersionId=136&fileName=2%20CCR%20407-7&type=pdf,C:/Users/jpfeifer/OneDrive - CoorsTek/Documents/Geode/_RAW_ARCHIVE/ccr/2_CCR_407-7.pdf,application/pdf,pdf,downloaded,2026-06-22T18:26:22.707763Z,2026-06-22T22:29:14.490315Z,80ed1c72a1233357580f59ee15cdf837419bb041b9f279c44de4964793d9f266,313057,not_attempted,True,,,"[""manufacturing"",""mining""]","[""energy"",""environment"",""mining"",""natural_resources""]","[""environmental_waste"",""general_manufacturing"",""mining_minerals_natural_resources""]",0.85,high,high,"[{""rule_id"":""agency_mining_reclamation"",""source"":""agency"",""confidence"":0.85,""matched_text"":""division of reclamation"",""reason"":""Mining and mineral rules are adjacent to raw-material supply chains."",""industry_tags"":[""mining"",""manufacturing""],""topic_tags"":[""energy"",""mining"",""natural_resources"",""environment""],""domain_tags"":[""mining_minerals_natural_resources"",""environmental_waste"",""general_manufacturing""]}]",
